Seq,DateListed,年度,類別,項目別,勞動力人口_總計_人,勞動力人口_就業_人,勞動力人口_失業_人,男_小計_人,男_就業_人,男_失業_人,女_小計_人,女_就業_人,女_失業_人,樣本數_人,勞動力人口_總計_百分比,勞動力人口_就業_百分比,勞動力人口_失業_百分比,男_小計_百分比,男_就業_百分比,男_失業_百分比,女_小計_百分比,女_就業_百分比,女_失業_百分比
352,"20241122","111","縣市","桃園市","38927","37432.75","1494.25","20412.5","19761.25","651.25","18514.5","17671.5","843","4211.86","100","96.16","3.84","100","96.81","3.19","100","95.45","4.55"
353,"20241122","111","縣市","臺中市","17991","17205","786","8454.75","8029.25","425.5","9536.25","9175.75","360.5","1946.94","100","95.63","4.37","100","94.97","5.03","100","96.22","3.78"
354,"20241122","111","縣市","臺南市","4141.5","3986","155.5","1758","1690.75","67.25","2383.5","2295.25","88.25","448.15","100","96.25","3.75","100","96.17","3.83","100","96.3","3.7"
355,"20241122","111","縣市","高雄市","17179.5","16436.75","742.75","8584.75","8195.25","389.5","8594.75","8241.5","353.25","1859","100","95.68","4.32","100","95.46","4.54","100","95.89","4.11"
356,"20241122","111","縣市","宜蘭縣","8304.25","8055","249.25","4481.5","4363","118.5","3822.75","3692","130.75","897.37","100","97","3","100","97.36","2.64","100","96.58","3.42"
357,"20241122","111","縣市","新竹縣","10683.25","10345.75","337.5","5792.5","5556.75","235.75","4890.75","4789","101.75","1156.77","100","96.84","3.16","100","95.93","4.07","100","97.92","2.08"
358,"20241122","111","縣市","苗栗縣","5657.75","5392.25","265.5","2896.75","2748.5","148.25","2761","2643.75","117.25","611.98","100","95.31","4.69","100","94.88","5.12","100","95.75","4.25"
359,"20241122","111","縣市","彰化縣","3121.25","2986.25","135","1465.25","1424.5","40.75","1656","1561.75","94.25","337.9","100","95.67","4.33","100","97.22","2.78","100","94.31","5.69"
360,"20241122","111","縣市","南投縣","14615","14169.5","445.5","7999.75","7760.5","239.25","6615.25","6409","206.25","1581.33","100","96.95","3.05","100","97.01","2.99","100","96.88","3.12"
361,"20241122","111","縣市","雲林縣","1365.75","1285","80.75","578.25","539.25","39","787.5","745.75","41.75","147.69","100","94.09","5.91","100","93.26","6.74","100","94.7","5.3"
362,"20241122","111","縣市","嘉義縣","3177.5","3102.25","75.25","1512.25","1456.25","56","1665.25","1646","19.25","343.76","100","97.63","2.37","100","96.3","3.7","100","98.84","1.16"
363,"20241122","111","縣市","屏東縣","28922.75","27941.25","981.5","14730.25","14156.25","574","14192.5","13785","407.5","3129.45","100","96.61","3.39","100","96.1","3.9","100","97.13","2.87"
364,"20241122","111","縣市","臺東縣","37302","35835.25","1466.75","20702","19816","886","16600","16019.25","580.75","4038.19","100","96.07","3.93","100","95.72","4.28","100","96.5","3.5"
365,"20241122","111","縣市","花蓮縣","44257.5","42574","1683.5","24521.75","23667.25","854.5","19735.75","18906.75","829","4787.81","100","96.2","3.8","100","96.52","3.48","100","95.8","4.2"
366,"20241122","111","縣市","澎湖縣","301.5","297","4.5","141","141","0","160.5","156","4.5","32.59","100","98.51","1.49","100","100","0","100","97.2","2.8"
367,"20241122","111","縣市","基隆市","4979.5","4795","184.5","2763","2686.5","76.5","2216.5","2108.5","108","538.21","100","96.29","3.71","100","97.23","2.77","100","95.13","4.87"
368,"20241122","111","縣市","新竹市","2179","2133.25","45.75","952.25","928","24.25","1226.75","1205.25","21.5","235.66","100","97.9","2.1","100","97.45","2.55","100","98.25","1.75"
369,"20241122","111","縣市","嘉義市","604.25","576.75","27.5","245","235.25","9.75","359.25","341.5","17.75","65.24","100","95.45","4.55","100","96.02","3.98","100","95.06","4.94"
