Seq,DateListed,年度,類別,項目別,勞動力人口_總計_人,勞動力人口_就業_人,勞動力人口_失業_人,男_小計_人,男_就業_人,男_失業_人,女_小計_人,女_就業_人,女_失業_人,樣本數_人,勞動力人口_總計_百分比,勞動力人口_就業_百分比,勞動力人口_失業_百分比,男_小計_百分比,男_就業_百分比,男_失業_百分比,女_小計_百分比,女_就業_百分比,女_失業_百分比
174,"20241122","106","縣市","嘉義縣","2455.59","2430.69","24.9","1330.8","1330.8","0","1124.79","1099.89","24.9","286.26","100","98.99","1.01","100","100","0","100","97.79","2.21"
175,"20241122","106","縣市","屏東縣","26226.58","25061.2","1165.38","14126.73","13431.77","694.96","12099.85","11629.43","470.42","3056.51","100","95.56","4.44","100","95.08","4.92","100","96.11","3.89"
176,"20241122","106","縣市","臺東縣","-81.85","-76.36","-87.14","-74.22","-73.59","-88.82","-79.75","-79.45","-85.6","-76.87","199.77","93.3","106.47","218.81","99.15","119.66","206.95","99.62","107.33"
177,"20241122","106","縣市","花蓮縣","40426.83","39355.85","1070.98","23925.27","23145.63","779.64","16501.56","16210.22","291.34","4711.94","100","97.35","2.65","100","96.74","3.26","100","98.23","1.77"
178,"20241122","106","縣市","澎湖縣","1038.16","939.52","98.64","409.19","392.25","16.93","628.97","547.26","81.71","120.94","100","90.5","9.5","100","95.86","4.14","100","87.01","12.99"
179,"20241122","106","縣市","基隆市","4701.88","4454.34","247.53","2497.19","2406.13","91.06","2204.68","2048.21","156.47","548.51","100","94.74","5.26","100","96.35","3.65","100","92.9","7.1"
180,"20241122","106","縣市","新竹市","2254.08","2089.76","164.32","940.16","857.47","82.7","1313.92","1232.29","81.63","262.29","100","92.72","7.28","100","91.2","8.8","100","93.79","6.21"
181,"20241122","106","縣市","嘉義市","1109.58","1077.78","31.8","486.99","461.01","25.98","622.59","616.77","5.82","129.52","100","97.13","2.87","100","94.66","5.34","100","99.07","0.93"
182,"20241122","108","總計","-","270096.75","259407.25","10689.5","141715.25","135894.75","5820.5","128381.5","123512.5","4869","29399.95","100","96.04","3.96","100","95.89","4.11","100","96.21","3.79"
183,"20241122","108","行政區域","台灣省","160195.75","154045.5","6150.25","87081.75","83424.5","3657.25","73114","70621","2493","17438.35","100","96.16","3.84","100","95.8","4.2","100","96.59","3.41"
184,"20241122","108","行政區域","山地原住民族地區","67723.5","65179.75","2543.75","38603.25","37016","1587.25","29120.25","28163.75","956.5","7371.9","100","96.24","3.76","100","95.89","4.11","100","96.72","3.28"
185,"20241122","108","行政區域","平地原住民族地區","63089.25","60672","2417.25","35615.5","34123.5","1492","27473.75","26548.5","925.25","6868.91","100","96.17","3.83","100","95.81","4.19","100","96.63","3.37"
186,"20241122","108","行政區域","非原住民族地區","29383","28193.75","1189.25","12863","12285","578","16520","15908.75","611.25","3197.55","100","95.95","4.05","100","95.51","4.49","100","96.3","3.7"
187,"20241122","108","行政區域","新北市","28734.75","27652.75","1082","14339","13706.5","632.5","14395.75","13946.25","449.5","3127.16","100","96.23","3.77","100","95.59","4.41","100","96.88","3.12"
188,"20241122","108","行政區域","臺北市","8479.5","8147.5","332","3747.75","3530.25","217.5","4731.75","4617.25","114.5","923.01","100","96.08","3.92","100","94.2","5.8","100","97.58","2.42"
189,"20241122","108","行政區域","桃園市","35665.5","34228.75","1436.75","18938.75","18321.75","617","16726.75","15907","819.75","3883.42","100","95.97","4.03","100","96.74","3.26","100","95.1","4.9"
190,"20241122","108","行政區域","臺中市","16627.25","15932.5","694.75","8177.25","7856.5","320.75","8450","8076","374","1808.7","100","95.82","4.18","100","96.08","3.92","100","95.57","4.43"
191,"20241122","108","行政區域","臺南市","3873.5","3718","155.5","1666","1569.75","96.25","2207.5","2148.25","59.25","421.5","100","95.99","4.01","100","94.22","5.78","100","97.32","2.68"
192,"20241122","108","行政區域","高雄市","16520.5","15682.25","838.25","7764.75","7485.5","279.25","8755.75","8196.75","559","1797.82","100","94.93","5.07","100","96.4","3.6","100","93.62","6.38"
193,"20241122","108","統計區域","北部地區","97443","93711.75","3731.25","49943.75","47950.25","1993.5","47499.25","45761.5","1737.75","10607.13","100","96.17","3.83","100","96.01","3.99","100","96.34","3.66"
194,"20241122","108","統計區域","北部地區_山地原住民族地區","15521.25","14965.25","556","9633.75","9273","360.75","5887.5","5692.25","195.25","1690.79","100","96.42","3.58","100","96.26","3.74","100","96.68","3.32"
195,"20241122","108","統計區域","北部地區_平地原住民族地區","301.5","294.75","6.75","144","139.25","4.75","157.5","155.5","2","32.81","100","97.76","2.24","100","96.7","3.3","100","98.73","1.27"
196,"20241122","108","統計區域","北部地區_非原住民族地區","81620.25","78451.75","3168.5","40166","38538","1628","41454.25","39913.75","1540.5","8883.54","100","96.12","3.88","100","95.95","4.05","100","96.28","3.72"
197,"20241122","108","統計區域","中部地區","39882","38204.5","1677.5","20250.75","19439.75","811","19631.25","18764.75","866.5","4339.58","100","95.79","4.21","100","96","4","100","95.59","4.41"
198,"20241122","108","統計區域","中部地區_山地原住民族地區","14970","14439","531","8802","8522.5","279.5","6168","5916.5","251.5","1629.75","100","96.45","3.55","100","96.82","3.18","100","95.92","4.08"
199,"20241122","108","統計區域","中部地區_平地原住民族地區","1480.25","1421.25","59","920.25","888.75","31.5","560","532.5","27.5","161.19","100","96.01","3.99","100","96.58","3.42","100","95.09","4.91"
200,"20241122","108","統計區域","中部地區_非原住民族地區","23431.75","22344.25","1087.5","10528.5","10028.5","500","12903.25","12315.75","587.5","2548.64","100","95.36","4.64","100","95.25","4.75","100","95.45","4.55"
201,"20241122","108","統計區域","南部地區","53213.5","51158.5","2055","26775.25","25790.75","984.5","26438.25","25367.75","1070.5","5790.91","100","96.14","3.86","100","96.32","3.68","100","95.95","4.05"
202,"20241122","108","統計區域","南部地區_山地原住民族地區","28978.75","28147.75","831","15986.75","15525.5","461.25","12992","12622.25","369.75","3153.39","100","97.13","2.87","100","97.11","2.89","100","97.15","2.85"
203,"20241122","108","統計區域","南部地區_平地原住民族地區","1151.5","1103","48.5","701.75","658.25","43.5","449.75","444.75","5","125.22","100","95.79","4.21","100","93.8","6.2","100","98.89","1.11"
204,"20241122","108","統計區域","南部地區_非原住民族地區","23083.25","21907.75","1175.5","10086.75","9607","479.75","12996.5","12300.75","695.75","2512.3","100","94.91","5.09","100","95.24","4.76","100","94.65","5.35"
205,"20241122","108","統計區域","東部地區","79558.25","76332.5","3225.75","44745.5","42714","2031.5","34812.75","33618.5","1194.25","8662.33","100","95.95","4.05","100","95.46","4.54","100","96.57","3.43"
206,"20241122","108","統計區域","東部地區_山地原住民族地區","19303.25","18380.5","922.75","10844.25","10225","619.25","8459","8155.5","303.5","2101.83","100","95.22","4.78","100","94.29","5.71","100","96.41","3.59"
207,"20241122","108","統計區域","東部地區_平地原住民族地區","60156","57853","2303","33849.5","32437.25","1412.25","26306.5","25415.75","890.75","6549.69","100","96.17","3.83","100","95.83","4.17","100","96.61","3.39"
208,"20241122","108","統計區域","東部地區_非原住民族地區","99","99","0","51.75","51.75","0","47.25","47.25","0","10.82","100","100","0","100","100","0","100","100","0"
209,"20241122","108","縣市","新北市","28734.75","27652.75","1082","14339","13706.5","632.5","14395.75","13946.25","449.5","3127.16","100","96.23","3.77","100","95.59","4.41","100","96.88","3.12"
210,"20241122","108","縣市","臺北市","8479.5","8147.5","332","3747.75","3530.25","217.5","4731.75","4617.25","114.5","923.01","100","96.08","3.92","100","94.2","5.8","100","97.58","2.42"
211,"20241122","108","縣市","桃園市","35665.5","34228.75","1436.75","18938.75","18321.75","617","16726.75","15907","819.75","3883.42","100","95.97","4.03","100","96.74","3.26","100","95.1","4.9"
212,"20241122","108","縣市","臺中市","16627.25","15932.5","694.75","8177.25","7856.5","320.75","8450","8076","374","1808.7","100","95.82","4.18","100","96.08","3.92","100","95.57","4.43"
213,"20241122","108","縣市","臺南市","3873.5","3718","155.5","1666","1569.75","96.25","2207.5","2148.25","59.25","421.5","100","95.99","4.01","100","94.22","5.78","100","97.32","2.68"
214,"20241122","108","縣市","高雄市","16520.5","15682.25","838.25","7764.75","7485.5","279.25","8755.75","8196.75","559","1797.82","100","94.93","5.07","100","96.4","3.6","100","93.62","6.38"
215,"20241122","108","縣市","宜蘭縣","7727.75","7549","178.75","4303.25","4205","98.25","3424.5","3344","80.5","841.24","100","97.69","2.31","100","97.72","2.28","100","97.65","2.35"
216,"20241122","108","縣市","新竹縣","9575","9155","420","5036.75","4791.75","245","4538.25","4363.25","175","1042.41","100","95.61","4.39","100","95.14","4.86","100","96.14","3.86"
217,"20241122","108","縣市","苗栗縣","5255.75","5111.5","144.25","2682.5","2617","65.5","2573.25","2494.5","78.75","572.83","100","97.26","2.74","100","97.56","2.44","100","96.94","3.06"
218,"20241122","108","縣市","彰化縣","2836.75","2672.5","164.25","1209.25","1129.5","79.75","1627.5","1543","84.5","308.71","100","94.21","5.79","100","93.41","6.59","100","94.81","5.19"
219,"20241122","108","縣市","南投縣","13942.5","13314.75","627.75","7746.5","7419.5","327","6196","5895.25","300.75","1516.57","100","95.5","4.5","100","95.78","4.22","100","95.15","4.85"
220,"20241122","108","縣市","雲林縣","1219.75","1173.25","46.5","435.25","417.25","18","784.5","756","28.5","132.77","100","96.19","3.81","100","95.86","4.14","100","96.37","3.63"
221,"20241122","108","縣市","嘉義縣","3207.5","3072.25","135.25","1486","1460.75","25.25","1721.5","1611.5","110","349.08","100","95.78","4.22","100","98.3","1.7","100","93.61","6.39"
222,"20241122","108","縣市","屏東縣","28811.25","27958","853.25","15491.25","14948","543.25","13320","13010","310","3135.41","100","97.04","2.96","100","96.49","3.51","100","97.67","2.33"
223,"20241122","108","縣市","臺東縣","37206.25","35470","1736.25","21123.25","20034","1089.25","16083","15436","647","4050.42","100","95.33","4.67","100","94.84","5.16","100","95.98","4.02"
224,"20241122","108","縣市","花蓮縣","42352","40862.5","1489.5","23622.25","22680","942.25","18729.75","18182.5","547.25","4611.91","100","96.48","3.52","100","96.01","3.99","100","97.08","2.92"
